Locus	Annotation (TAIR10)	Mapman Category	GO term biological process	Mean Day 0 MD	Mean Day 0 MN	Mean Day 4 MD	Mean Day 4 MN	Mean Day 9 MD	Mean Day 9 MN	Mean Day 12 MD	Mean Day 12 MN	Mean Day 2rek MD	Mean Day 2rek MN
AT3G23810	S-adenosyl-l-homocysteine (SAH) hydrolase 2	amino acid metabolism	response to salt stress; one-carbon metabolic process; cysteine biosynthetic process; Golgi organization; calcium ion transport	1235	544	1246.67	621	479.33	368	366.67	435	1163	369.67
AT4G34030	3-methylcrotonyl-CoA carboxylase	amino acid metabolism	vegetative phase change; leucine catabolic process; virus induced gene silencing	49.67	151.67	55.67	173	174	214.33	358	368.33	73.33	180.33
AT1G04710	peroxisomal 3-ketoacyl-CoA thiolase  4	amino acid metabolism	fatty acid oxidation; protocatechuate catabolic process. ortho-cleavage; catechol catabolic process. ortho-cleavage; metabolic process	189.67	260	204.67	197.67	387.67	242.67	614	266.67	265	186
AT2G34470	urease accessory protein G	amino acid metabolism	nitrogen compound metabolic process; positive regulation of metalloenzyme activity	132.67	229.67	71	108	98	370.33	84.33	225.67	174.67	343.33
AT4G33510	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	amino acid metabolism	chorismate biosynthetic process; aromatic amino acid family biosynthetic process	155	238.33	142.33	281.67	345.67	239	613.67	234.67	131	164
AT5G48220	Aldolase-type TIM barrel family protein	amino acid metabolism	metabolic process; tryptophan metabolic process	125.67	222.33	131.33	228	148.67	173.33	136.33	140.33	124.67	168.67
AT5G10240	asparagine synthetase 3	amino acid metabolism	asparagine biosynthetic process	166.67	308.67	154.33	280	119	222	117.67	293.33	144.33	360.33
AT4G33680	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	amino acid metabolism	systemic acquired resistance. salicylic acid mediated signaling pathway; ethylene biosynthetic process; lysine biosynthetic process via diaminopimelate; response to cytokinin stimulus	187	177.33	202	202.33	154.67	130.67	153.33	118	176	155.67
AT2G36880	methionine adenosyltransferase 3	amino acid metabolism	response to salt stress; Golgi organization; S-adenosylmethionine biosynthetic process; response to osmotic stress; phenylpropanoid metabolic process; cellular modified amino acid biosynthetic process; polyamine catabolic process; response to cadmium ion; calcium ion transport	174	224.67	223.67	207.33	156.33	98.33	111.33	98.67	192.67	131.33
AT3G01120	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	amino acid metabolism	selenium compound metabolic process; methionine biosynthetic process; one-carbon metabolic process; cellular amino acid metabolic process	676	683.67	732.67	683.67	341.33	287	191	365	685.67	754
